5539|4372|1|[International]|[4]|[International - FIFA World Cup]|[781_7583]|[Round of 16]|[available]|[Brazil]|[Brazil]|[Brazil]|[7583]|[2018]|[male]|[2018]|[781]|[FIFA World Cup]|[2018-07-02 00:00:00]
5548|5546|2|[International]|[1, 4]|[International - FIFA World Cup]|[773_7533, 773_7586]|[Group Stage, Round of 16]|[available]|[Switzerland]|[Switzerland]|[Switzerland]|[7586, 7533]|[2018]|[male]|[2018]|[773]|[FIFA World Cup]|[2018-07-03 00:00:00, 2018-06-17 00:00:00]
5552|5463|15|[Spain, Europe]|[17, 29, 12, 26, 31, 14, 28, 33, 9, 7, 10, 36]|[Europe - Champions League, Spain - La Liga]|[220_18243, 220_18245, 220_18241, 220_266424, 220_267085, 220_267533, 220_267183, 220_9924, 220_267569, 220_18244, 220_16196, 220_9736, 220_265857, 220_70293, 220_267076]|[Final, Regular Season]|[available]|[Brazil]|[Croatia]|[Real Madrid]|[267183, 267569, 18243, 267085, 9924, 266424, 267533, 18245, 70293, 267076, 18244, 18241, 16196, 9736, 265857]|[2015/2016, 2013/2014, 2018/2019, 2016/2017, 2017/2018, 2014/2015]|[male]|[2015/2016, 2013/2014, 2018/2019, 2016/2017, 2017/2018, 2014/2015]|[220]|[La Liga, Champions League]|[2015-03-22 00:00:00, 2019-03-02 00:00:00, 2017-04-23 00:00:00, 2016-12-03 00:00:00, 2014-05-24 00:00:00, 2018-05-06 00:00:00, 2018-05-26 00:00:00, 2017-06-03 00:00:00, 2017-12-23 00:00:00, 2013-10-26 00:00:00, 2014-03-23 00:00:00, 2016-05-28 00:00:00, 2014-10-25 00:00:00, 2015-11-21 00:00:00, 2016-04-02 00:00:00]
5558|5216|72|[Spain]|[29, 1, 15, 30, 5, 8, 32, 16, 11, 4, 9, 7, 17, 13, 31, 19, 3, 23, 21, 26, 2, 14, 22, 28, 33, 10, 25, 20, 12, 27, 34, 6, 18]|[Spain - La Liga]|[217_69253, 217_69222, 217_69173, 217_69277, 217_69292, 217_69243, 217_69170, 217_68326, 217_69235, 217_69216, 217_69220, 217_68347, 217_69233, 217_68327, 217_69177, 217_68363, 217_68313, 217_69240, 217_68314, 217_68323, 217_69227, 217_69256, 217_69166, 217_69154, 217_68350, 217_68325, 217_69159, 217_68316, 217_68334, 217_68319, 217_69219, 217_69158, 217_68328, 217_68339, 217_69142, 217_69223, 217_69143, 217_69174, 217_69273, 217_68329, 217_68351, 217_68354, 217_69180, 217_68324, 217_69212, 217_68342, 217_69259, 217_68317, 217_68331, 217_69147, 217_69232, 217_69164, 217_69254, 217_69169, 217_68332, 217_69148, 217_69179, 217_69138, 217_68353, 217_69184, 217_69146, 217_68335, 217_69267, 217_69153, 217_69145, 217_69207, 217_68356, 217_69187, 217_68352, 217_68359, 217_68322, 217_69209]|[Regular Season]|[available]|[Mexico]|[Spain]|[Barcelona]|[69148, 69166, 68325, 69243, 68327, 69277, 68347, 69158, 69216, 68314, 68335, 69146, 68313, 69177, 69240, 68334, 68319, 69219, 69222, 69209, 68354, 68322, 68353, 68363, 69227, 68317, 69179, 68328, 69223, 69259, 69138, 68339, 69232, 69170, 68352, 69154, 68342, 68329, 69235, 69173, 69145, 68351, 69159, 69267, 68359, 69174, 69273, 68324, 69212, 69169, 69292, 69233, 69207, 69253, 69153, 68326, 68332, 69256, 69184, 68316, 68356, 69142, 69180, 69187, 68331, 69143, 68350, 69147, 68323, 69164, 69220, 69254]|[2005/2006, 2008/2009, 2004/2005, 2009/2010, 2007/2008, 2006/2007]|[male]|[2005/2006, 2008/2009, 2004/2005, 2009/2010, 2007/2008, 2006/2007]|[217]|[La Liga]|[2010-02-20 00:00:00, 2009-09-22 00:00:00, 2006-08-28 00:00:00, 2010-03-21 00:00:00, 2004-10-16 00:00:00, 2005-11-27 00:00:00, 2008-02-03 00:00:00, 2008-10-25 00:00:00, 2009-04-11 00:00:00, 2008-08-31 00:00:00, 2010-04-10 00:00:00, 2004-12-04 00:00:00, 2007-03-03 00:00:00, 2007-12-09 00:00:00, 2007-12-01 00:00:00, 2009-12-02 00:00:00, 2009-10-25 00:00:00, 2008-02-09 00:00:00, 2010-01-30 00:00:00, 2007-02-18 00:00:00, 2008-01-20 00:00:00, 2009-10-31 00:00:00, 2007-08-26 00:00:00, 2006-11-04 00:00:00, 2009-03-15 00:00:00, 2007-11-01 00:00:00, 2006-01-15 00:00:00, 2009-09-19 00:00:00, 2007-04-15 00:00:00, 2008-04-19 00:00:00, 2006-09-24 00:00:00, 2005-12-20 00:00:00, 2006-09-09 00:00:00, 2007-09-02 00:00:00, 2010-01-16 00:00:00, 2006-01-29 00:00:00, 2008-11-01 00:00:00, 2009-03-07 00:00:00, 2005-04-17 00:00:00, 2007-04-07 00:00:00, 2008-09-24 00:00:00, 2007-11-04 00:00:00, 2009-04-04 00:00:00, 2007-10-28 00:00:00, 2007-03-10 00:00:00, 2005-11-06 00:00:00, 2006-02-25 00:00:00, 2007-09-26 00:00:00, 2005-05-01 00:00:00, 2010-01-10 00:00:00, 2009-04-18 00:00:00, 2004-10-24 00:00:00, 2006-11-12 00:00:00, 2007-02-11 00:00:00, 2008-10-04 00:00:00, 2007-12-15 00:00:00, 2010-02-06 00:00:00, 2007-09-22 00:00:00, 2007-11-24 00:00:00, 2004-12-11 00:00:00, 2006-09-30 00:00:00, 2005-10-26 00:00:00, 2006-02-05 00:00:00, 2005-12-17 00:00:00, 2005-10-01 00:00:00, 2005-11-19 00:00:00, 2009-02-01 00:00:00, 2009-03-22 00:00:00, 2006-01-22 00:00:00, 2006-10-15 00:00:00, 2009-10-03 00:00:00, 2008-09-21 00:00:00]
5570|3186|2|[International]|[1, 2]|[International - FIFA World Cup]|[770_7534, 770_7551]|[Group Stage]|[available]|[Germany]|[Germany]|[Germany]|[7534, 7551]|[2018]|[male]|[2018]|[770]|[FIFA World Cup]|[2018-06-23 00:00:00, 2018-06-17 00:00:00]
5572|3496|2|[International]|[3, 1]|[International - FIFA World Cup]|[770_7534, 770_7567]|[Group Stage]|[available]|[Germany]|[Germany]|[Germany]|[7534, 7567]|[2018]|[male]|[2018]|[770]|[FIFA World Cup]|[2018-06-17 00:00:00, 2018-06-27 00:00:00]
5574|3063|3|[Spain, Europe]|[12, 7]|[Europe - Champions League, Spain - La Liga]|[220_18243, 220_18244, 220_266424]|[Final, Regular Season]|[available]|[Germany]|[Brazil]|[Real Madrid]|[18243, 18244, 266424]|[2015/2016, 2016/2017]|[male]|[2015/2016, 2016/2017]|[220]|[La Liga, Champions League]|[2016-05-28 00:00:00, 2015-11-21 00:00:00, 2017-06-03 00:00:00]
5578|3496|1|[International]|[1]|[International - FIFA World Cup]|[770_7534]|[Group Stage]|[available]|[Germany]|[Germany]|[Germany]|[7534]|[2018]|[male]|[2018]|[770]|[FIFA World Cup]|[2018-06-17 00:00:00]
5588|5580|1|[International]|[1]|[International - FIFA World Cup]|[786_7535]|[Group Stage]|[available]|[Serbia]|[Serbia]|[Serbia]|[7535]|[2018]|[male]|[2018]|[786]|[FIFA World Cup]|[2018-06-17 00:00:00]
5622|5613|5|[International]|[3, 1, 2, 5, 4]|[International - FIFA World Cup]|[790_7566, 790_7551, 790_7586, 790_8651, 790_7538]|[Group Stage, Round of 16, Quarter-finals]|[available]|[Sweden]|[Sweden]|[Sweden]|[7586, 7566, 8651, 7551, 7538]|[2018]|[male]|[2018]|[790]|[FIFA World Cup]|[2018-06-23 00:00:00, 2018-07-03 00:00:00, 2018-07-07 00:00:00, 2018-06-18 00:00:00, 2018-06-27 00:00:00]
5666|4685|2|[International]|[3, 1]|[International - FIFA World Cup]|[789_7539, 789_7572]|[Group Stage]|[available]|[Poland]|[Poland]|[Poland]|[7572, 7539]|[2018]|[male]|[2018]|[789]|[FIFA World Cup]|[2018-06-28 00:00:00, 2018-06-19 00:00:00]
5671|5659|2|[International]|[1, 2]|[International - FIFA World Cup]|[787_7539, 787_7556]|[Group Stage]|[available]|[Senegal]|[Senegal]|[Senegal]|[7556, 7539]|[2018]|[male]|[2018]|[787]|[FIFA World Cup]|[2018-06-24 00:00:00, 2018-06-19 00:00:00]
5685|3279|1|[International]|[1]|[International - FIFA World Cup]|[769_7541]|[Group Stage]|[available]|[Colombia]|[Colombia]|[Colombia]|[7541]|[2018]|[male]|[2018]|[769]|[FIFA World Cup]|[2018-06-19 00:00:00]
5693|3175|4|[International]|[3, 1, 2, 4]|[International - FIFA World Cup]|[778_7541, 778_7572, 778_7556, 778_7584]|[Group Stage, Round of 16]|[available]|[Japan]|[Japan]|[Japan]|[7556, 7572, 7584, 7541]|[2018]|[male]|[2018]|[778]|[FIFA World Cup]|[2018-06-28 00:00:00, 2018-07-02 00:00:00, 2018-06-24 00:00:00, 2018-06-19 00:00:00]
5719|5200|6|[International, Spain, Europe]|[17, 26, 2, 14, 7, 36]|[International - FIFA World Cup, Europe - Champions League, Spain - La Liga]|[220_16196, 220_9736, 220_18245, 772_7543, 220_267076, 220_9924]|[Final, Group Stage, Regular Season]|[available]|[Spain]|[Spain]|[Real Madrid, Spain]|[7543, 18245, 267076, 16196, 9924, 9736]|[2018, 2018/2019, 2017/2018, 2016/2017]|[male]|[2018, 2018/2019, 2017/2018, 2016/2017]|[220, 772]|[La Liga, Champions League, FIFA World Cup]|[2017-12-23 00:00:00, 2019-03-02 00:00:00, 2016-12-03 00:00:00, 2018-06-20 00:00:00, 2018-05-06 00:00:00, 2018-05-26 00:00:00]
5727|5245|2|[International]|[3, 2]|[International - FIFA World Cup]|[788_7542, 788_7560]|[Group Stage]|[available]|[Morocco]|[Morocco]|[Morocco]|[7560, 7542]|[2018]|[male]|[2018]|[788]|[FIFA World Cup]|[2018-06-25 00:00:00, 2018-06-20 00:00:00]
5742|5499|3|[International]|[3, 2, 4]|[International - FIFA World Cup]|[779_7564, 779_7580, 779_7545]|[Group Stage, Round of 16]|[available]|[Argentina]|[Argentina]|[Argentina]|[7545, 7564, 7580]|[2018]|[male]|[2018]|[779]|[FIFA World Cup]|[2018-06-21 00:00:00, 2018-06-30 00:00:00, 2018-06-26 00:00:00]
5743|5510|1|[International]|[2]|[International - FIFA World Cup]|[779_7545]|[Group Stage]|[available]|[Argentina]|[Argentina]|[Argentina]|[7545]|[2018]|[male]|[2018]|[779]|[FIFA World Cup]|[2018-06-21 00:00:00]
6290|5173|2|[International]|[3, 2]|[International - FIFA World Cup]|[799_7544, 799_7559]|[Group Stage]|[available]|[Saudi Arabia]|[Saudi Arabia]|[Saudi Arabia]|[7559, 7544]|[2018]|[male]|[2018]|[799]|[FIFA World Cup]|[2018-06-25 00:00:00, 2018-06-20 00:00:00]
6304|5831|2|[International]|[3, 2]|[International - FIFA World Cup]|[793_7561, 793_7549]|[Group Stage]|[available]|[Iceland]|[Iceland]|[Iceland]|[7549, 7561]|[2018]|[male]|[2018]|[793]|[FIFA World Cup]|[2018-06-26 00:00:00, 2018-06-22 00:00:00]
