6615|6566|2|[Spain]|[1, 34]|[Spain - La Liga]|[206_16275, 206_15946]|[Regular Season]|[available]|[Spain]|[Spain]|[Deportivo Alavés]|[15946, 16275]|[2018/2019]|[male]|[2018/2019]|[206]|[La Liga]|[2019-04-23 00:00:00, 2018-08-18 00:00:00]
6615|6612|3|[Spain]|[1, 21, 34]|[Spain - La Liga]|[206_9774, 206_16275, 206_15946]|[Regular Season]|[available]|[Spain]|[Spain]|[Deportivo Alavés]|[15946, 9774, 16275]|[2018/2019, 2017/2018]|[male]|[2018/2019, 2017/2018]|[206]|[La Liga]|[2019-04-23 00:00:00, 2018-08-18 00:00:00, 2018-01-28 00:00:00]
6649|6396|10|[Spain]|[20, 29, 3, 23, 1, 21, 2, 22, 34, 7]|[Spain - La Liga]|[215_16010, 215_9855, 215_16173, 215_266236, 215_70273, 215_267567, 215_266871, 215_266149, 215_266874, 215_266892]|[Regular Season]|[available]|[Spain]|[Spain]|[Athletic Bilbao]|[266871, 266892, 16173, 267567, 266149, 16010, 266236, 9855, 70273, 266874]|[2015/2016, 2013/2014, 2018/2019, 2016/2017, 2017/2018, 2014/2015]|[male]|[2015/2016, 2013/2014, 2018/2019, 2016/2017, 2017/2018, 2014/2015]|[215]|[La Liga]|[2016-08-28 00:00:00, 2014-04-20 00:00:00, 2014-09-13 00:00:00, 2017-02-04 00:00:00, 2016-01-17 00:00:00, 2015-02-08 00:00:00, 2018-03-18 00:00:00, 2015-08-23 00:00:00, 2019-02-10 00:00:00, 2018-09-29 00:00:00]
6658|6654|1|[Spain]|[20]|[Spain - La Liga]|[218_9765]|[Regular Season]|[available]|[Spain]|[Spain]|[Real Betis]|[9765]|[2017/2018]|[male]|[2017/2018]|[218]|[La Liga]|[2018-01-21 00:00:00]
6659|6629|1|[Spain]|[3]|[Spain - La Liga]|[206_266669]|[Regular Season]|[available]|[Spain]|[Spain]|[Deportivo Alavés]|[266669]|[2016/2017]|[male]|[2016/2017]|[206]|[La Liga]|[2016-09-10 00:00:00]
6671|5721|3|[Spain, Europe]|[9, 10, 7]|[Europe - Champions League, Spain - La Liga]|[220_70293, 220_18241, 220_267085]|[Final, Regular Season]|[available]|[Spain]|[Spain]|[Real Madrid]|[70293, 18241, 267085]|[2013/2014, 2014/2015]|[male]|[2013/2014, 2014/2015]|[220]|[La Liga, Champions League]|[2013-10-26 00:00:00, 2014-10-25 00:00:00, 2014-05-24 00:00:00]
6675|6668|1|[Spain]|[35]|[Spain - La Liga]|[221_16289]|[Regular Season]|[available]|[Spain]|[Spain]|[Levante]|[16289]|[2018/2019]|[male]|[2018/2019]|[221]|[La Liga]|[2019-04-27 00:00:00]
6685|6677|2|[Spain]|[13, 19]|[Spain - La Liga]|[210_266885, 210_9754]|[Regular Season]|[available]|[Spain]|[Spain]|[Real Sociedad]|[9754, 266885]|[2015/2016, 2017/2018]|[male]|[2015/2016, 2017/2018]|[210]|[La Liga]|[2015-11-28 00:00:00, 2018-01-14 00:00:00]
6688|6349|1|[Spain]|[9]|[Spain - La Liga]|[213_69329]|[Regular Season]|[available]|[Spain]|[Argentina]|[Sevilla]|[69329]|[2011/2012]|[male]|[2011/2012]|[213]|[La Liga]|[2011-10-22 00:00:00]
6694|6674|4|[Spain]|[17, 38, 32, 36]|[Spain - La Liga]|[210_266045, 210_9948, 210_266664, 210_266240]|[Regular Season]|[available]|[Argentina]|[Spain]|[Real Sociedad]|[266240, 266045, 9948, 266664]|[2015/2016, 2017/2018, 2014/2015]|[male]|[2015/2016, 2017/2018, 2014/2015]|[210]|[La Liga]|[2015-05-09 00:00:00, 2015-01-04 00:00:00, 2018-05-20 00:00:00, 2016-04-09 00:00:00]
6704|5597|3|[Spain, Europe]|[17, 7, 36]|[Europe - Champions League, Spain - La Liga]|[220_9736, 220_18245, 220_9924]|[Final, Regular Season]|[available]|[France]|[Costa Rica]|[Real Madrid]|[18245, 9924, 9736]|[2017/2018]|[male]|[2017/2018]|[220]|[La Liga, Champions League]|[2017-12-23 00:00:00, 2018-05-06 00:00:00, 2018-05-26 00:00:00]
