5686|5678|3|[International]|[1, 2, 4]|[International - FIFA World Cup]|[769_7555, 769_7541, 769_7585]|[Group Stage, Round of 16]|[available]|[Colombia]|[Colombia]|[Colombia]|[7585, 7555, 7541]|[2018]|[male]|[2018]|[769]|[FIFA World Cup]|[2018-07-03 00:00:00, 2018-06-24 00:00:00, 2018-06-19 00:00:00]
5695|4276|3|[International]|[3, 1, 2]|[International - FIFA World Cup]|[769_7555, 769_7541, 769_7571]|[Group Stage]|[available]|[Colombia]|[Colombia]|[Colombia]|[7571, 7555, 7541]|[2018]|[male]|[2018]|[769]|[FIFA World Cup]|[2018-06-28 00:00:00, 2018-06-24 00:00:00, 2018-06-19 00:00:00]
5732|4763|4|[International]|[3, 1, 2, 4]|[International - FIFA World Cup]|[776_7532, 776_7547, 776_7581, 776_7563]|[Group Stage, Round of 16]|[available]|[Denmark]|[Denmark]|[Denmark]|[7581, 7563, 7547, 7532]|[2018]|[male]|[2018]|[776]|[FIFA World Cup]|[2018-06-16 00:00:00, 2018-06-21 00:00:00, 2018-07-01 00:00:00, 2018-06-26 00:00:00]
5987|5186|2|[Spain]|[21, 2]|[Spain - La Liga]|[222_267597, 222_266406]|[Regular Season]|[available]|[Mexico]|[Russia]|[Villarreal]|[267597, 266406]|[2014/2015]|[male]|[2014/2015]|[222]|[La Liga]|[2014-08-31 00:00:00, 2015-02-01 00:00:00]
6038|5605|2|[International]|[3, 1]|[International - FIFA World Cup]|[790_7566, 790_7538]|[Group Stage]|[available]|[Sweden]|[Sweden]|[Sweden]|[7566, 7538]|[2018]|[male]|[2018]|[790]|[FIFA World Cup]|[2018-06-18 00:00:00, 2018-06-27 00:00:00]
6191|4628|1|[Europe]|[7]|[Europe - Champions League]|[169_18237]|[Final]|[available]|[Japan]|[Germany]|[Bayern Munich]|[18237]|[2011/2012]|[male]|[2011/2012]|[169]|[Champions League]|[2012-05-19 00:00:00]
6196|5691|3|[International]|[3, 2, 4]|[International - FIFA World Cup]|[769_7555, 769_7571, 769_7585]|[Group Stage, Round of 16]|[available]|[Colombia]|[Colombia]|[Colombia]|[7585, 7571, 7555]|[2018]|[male]|[2018]|[769]|[FIFA World Cup]|[2018-06-28 00:00:00, 2018-07-03 00:00:00, 2018-06-24 00:00:00]
6292|5265|2|[International]|[3, 1]|[International - FIFA World Cup]|[774_7559, 774_7578]|[Group Stage]|[available]|[Egypt]|[Egypt]|[Egypt]|[7578, 7559]|[2018]|[male]|[2018]|[774]|[FIFA World Cup]|[2018-06-25 00:00:00, 2018-06-15 00:00:00]
6299|5182|1|[International]|[3]|[International - FIFA World Cup]|[796_7558]|[Group Stage]|[available]|[Russia]|[Russia]|[Russia]|[7558]|[2018]|[male]|[2018]|[796]|[FIFA World Cup]|[2018-06-25 00:00:00]
6299|5186|1|[International]|[3]|[International - FIFA World Cup]|[796_7558]|[Group Stage]|[available]|[Russia]|[Russia]|[Russia]|[7558]|[2018]|[male]|[2018]|[796]|[FIFA World Cup]|[2018-06-25 00:00:00]
6315|5529|2|[International]|[3, 1]|[International - FIFA World Cup]|[784_7532, 784_7562]|[Group Stage]|[available]|[Peru]|[Peru]|[Peru]|[7562, 7532]|[2018]|[male]|[2018]|[784]|[FIFA World Cup]|[2018-06-16 00:00:00, 2018-06-26 00:00:00]
6356|3253|1|[Spain]|[26]|[Spain - La Liga]|[213_265839]|[Regular Season]|[available]|[Denmark]|[France]|[Sevilla]|[265839]|[2015/2016]|[male]|[2015/2016]|[213]|[La Liga]|[2016-02-28 00:00:00]
6358|5611|3|[International]|[3, 1, 4]|[International - FIFA World Cup]|[790_7566, 790_7586, 790_7538]|[Group Stage, Round of 16]|[available]|[Sweden]|[Sweden]|[Sweden]|[7586, 7566, 7538]|[2018]|[male]|[2018]|[790]|[FIFA World Cup]|[2018-07-03 00:00:00, 2018-06-18 00:00:00, 2018-06-27 00:00:00]
6392|6386|1|[Spain]|[10]|[Spain - La Liga]|[215_9661]|[Regular Season]|[available]|[Spain]|[Spain]|[Athletic Bilbao]|[9661]|[2017/2018]|[male]|[2017/2018]|[215]|[La Liga]|[2017-10-28 00:00:00]
6576|5691|1|[Spain]|[6]|[Spain - La Liga]|[211_9620]|[Regular Season]|[available]|[Spain]|[Colombia]|[Girona]|[9620]|[2017/2018]|[male]|[2017/2018]|[211]|[La Liga]|[2017-09-23 00:00:00]
6590|6586|1|[Spain]|[13]|[Spain - La Liga]|[207_9695]|[Regular Season]|[available]|[Brazil]|[Spain]|[Valencia]|[9695]|[2017/2018]|[male]|[2017/2018]|[207]|[La Liga]|[2017-11-26 00:00:00]
